make,model,price,year,kilometer,fuel_type,transmission,location,color,owner,seller_type,engine,max_power,max_torque,drivetrain,length,width,height,seating_capacity,fuel_tank_capacity,power_bhp,torque_nm
hyundai,venue sx 1.0 (o) petrol [2019-2020],999000,2019,27464,petrol,manual,bangalore,blue,first,individual,998 cc,118 bhp @ 6000 rpm,172 nm @ 1500 rpm,fwd,3995.0,1770.0,1605.0,5.0,45.0,118.0,172.0
maruti suzuki,alto lxi cng,370000,2019,47377,cng,manual,delhi,grey,first,individual,998 cc,58 bhp @ 6000 rpm,78 nm @ 3500 rpm,fwd,3545.0,1490.0,1475.0,4.0,60.0,58.0,78.0
maruti suzuki,ritz zxi bs-iv,325000,2013,23086,petrol,manual,mumbai,grey,first,individual,1197 cc,85 bhp @ 6000 rpm,113 nm @ 4500 rpm,fwd,3775.0,1680.0,1620.0,5.0,43.0,85.0,113.0
hyundai,creta 1.6 sx plus petrol,1175000,2019,36313,petrol,manual,mumbai,grey,first,individual,1591 cc,122 bhp @ 6400 rpm,154 nm @ 4850 rpm,fwd,4270.0,1780.0,1630.0,5.0,60.0,122.0,154.0
honda,brio v mt,351000,2014,39276,petrol,manual,mumbai,red,first,individual,1198 cc,87 bhp @ 6000 rpm,109 nm @ 4500 rpm,fwd,3610.0,1680.0,1500.0,5.0,35.0,87.0,109.0
hyundai,elite i20 asta 1.2,551000,2015,47752,petrol,manual,mumbai,white,first,individual,1197 cc,82 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0
honda,wr-v vx mt petrol,819999,2018,27963,petrol,manual,delhi,white,first,individual,1199 cc,89 bhp @ 6000 rpm,110 nm @ 4800 rpm,fwd,3999.0,1734.0,1601.0,5.0,40.0,89.0,110.0
hyundai,venue sx 1.0 turbo imt,990000,2020,24013,petrol,manual,mumbai,blue,first,individual,998 cc,118 bhp @ 6000 rpm,172 nm @ 1500 rpm,fwd,3995.0,1770.0,1605.0,5.0,45.0,118.0,172.0
hyundai,creta 1.6 sx plus at,925000,2016,66000,diesel,automatic,raipur,black,first,individual,1582 cc,126 bhp @ 4000 rpm,265 nm @ 1900 rpm,fwd,4270.0,1780.0,1630.0,5.0,60.0,126.0,265.0
ford,ecosport titanium+ 1.0l ecoboost,535000,2015,28000,petrol,manual,mumbai,silver,first,individual,999 cc,124 bhp @ 6000 rpm,170 nm @ 1400 rpm,fwd,3999.0,1765.0,1708.0,5.0,52.0,124.0,170.0
honda,cr-v 2.4 at,860000,2013,67000,petrol,automatic,mumbai,brown,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
hyundai,santro gl (cng),145000,2009,72000,cng,manual,kanpur,silver,second,individual,1086 cc,62 bhp @ 5500 rpm,96 nm @ 3000 rpm,fwd,3565.0,1525.0,1590.0,5.0,35.0,62.0,96.0
tata,tiago revotron xe [2016-2019],409000,2018,27069,petrol,manual,mumbai,white,first,individual,1199 cc,84 bhp @ 6000 rpm,114 nm @ 3500 rpm,fwd,3746.0,1647.0,1535.0,5.0,35.0,84.0,114.0
tata,tigor revotorq xt,490000,2018,43000,diesel,manual,patna,white,first,individual,1047 cc,69 bhp @ 4000 rpm,140 nm @ 1800 rpm,fwd,3992.0,1677.0,1537.0,5.0,35.0,69.0,140.0
toyota,innova 2.4 g 8 str [2016-2017],1900000,2019,71000,diesel,manual,mumbai,bronze,first,individual,2393 cc,148 bhp @ 3400 rpm,343 nm @ 1400 rpm,rwd,4735.0,1830.0,1795.0,8.0,55.0,148.0,343.0
mercedes-benz,glc 220 d progressive,3850000,2017,45600,diesel,automatic,mumbai,black,second,individual,2143 cc,168 bhp @ 3000 rpm,400 nm @ 1400 rpm,awd,4656.0,1890.0,1639.0,5.0,66.0,168.0,400.0
hyundai,creta sx 1.6 crdi (o),1125000,2018,60000,diesel,manual,patna,white,first,individual,1582 cc,126 bhp @ 4000 rpm,260 nm @ 1500 rpm,fwd,4270.0,1780.0,1665.0,5.0,55.0,126.0,260.0
mercedes-benz,m-class ml 250 cdi,2300000,2014,105101,diesel,automatic,vadodara,white,first,individual,2143 cc,203 bhp @ 4200 rpm,500 nm @ 1600 rpm,awd,4804.0,2141.0,1796.0,5.0,70.0,203.0,500.0
toyota,corolla altis vl at petrol,1095000,2016,45000,petrol,automatic,mumbai,black,first,individual,1798 cc,138 bhp @ 6400 rpm,173 nm @ 4000 rpm,fwd,4620.0,1775.0,1475.0,5.0,55.0,138.0,173.0
audi,a4 2.0 tdi (177bhp) premium plus,1575000,2013,66000,diesel,automatic,hyderabad,white,first,individual,1968 cc,177 bhp @ 4200 rpm,380 nm @ 1750 rpm,fwd,4701.0,1826.0,1427.0,5.0,63.0,177.0,380.0
mercedes-benz,slk-class slk 200 k,2400000,2010,34105,petrol,automatic,mumbai,grey,first,individual,1796 cc,165@5500,240@3000,rwd,4082.0,1777.0,1297.0,2.0,70.0,165.0,240.0
hyundai,elite i20 asta 1.2,525000,2015,68397,petrol,manual,patna,gold,first,individual,1197 cc,82 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0
mahindra,thar crde 4x4 ac,625000,2015,65000,diesel,manual,yamunanagar,white,second,individual,2498 cc,105 bhp @ 3800 rpm,247 nm @ 1800 rpm,awd,3920.0,1726.0,1930.0,6.0,60.0,105.0,247.0
maruti suzuki,baleno delta 1.2,605000,2019,27469,petrol,manual,delhi,silver,first,individual,1197 cc,83 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0
maruti suzuki,celerio vxi amt,412000,2016,41058,petrol,automatic,delhi,silver,first,individual,998 cc,67 bhp @ 6000 rpm,90 nm @ 3500 rpm,fwd,3600.0,1600.0,1560.0,5.0,35.0,67.0,90.0
maruti suzuki,ciaz vdi shvs,625000,2016,51330,diesel,manual,mumbai,brown,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4490.0,1730.0,1485.0,5.0,43.0,89.0,200.0
maruti suzuki,ciaz vxi,511000,2015,45969,petrol,manual,mumbai,silver,first,individual,1373 cc,91 bhp @ 6000 rpm,130 nm @ 4000 rpm,fwd,4490.0,1730.0,1485.0,5.0,43.0,91.0,130.0
hyundai,creta sx plus 1.6 at crdi,1150000,2017,66602,diesel,automatic,mumbai,grey,first,individual,1582 cc,126 bhp @ 4000 rpm,265 nm @ 1900 rpm,fwd,4270.0,1780.0,1630.0,5.0,60.0,126.0,265.0
hyundai,creta sx plus 1.6  petrol,885000,2016,57983,petrol,manual,mumbai,white,first,individual,1591 cc,122 bhp @ 6400 rpm,154 nm @ 4850 rpm,fwd,4270.0,1780.0,1630.0,5.0,60.0,122.0,154.0
renault,kwid 1.0 rxt amt opt,470000,2019,11183,petrol,automatic,mumbai,silver,first,individual,999 cc,67 bhp @ 5500 rpm,91 nm @ 4250 rpm,fwd,3679.0,1579.0,1478.0,5.0,28.0,67.0,91.0
mg,hector sharp 2.0 diesel [2019-2020],1611000,2019,46301,diesel,manual,mumbai,white,first,individual,1956 cc,169 bhp @ 3750 rpm,350 nm @ 1750 rpm,fwd,4655.0,1835.0,1760.0,5.0,60.0,169.0,350.0
tata,tiago revotron xza [2017-2019],475000,2017,34867,petrol,automatic,mumbai,silver,second,individual,1199 cc,84 bhp @ 6000 rpm,114 nm @ 3500 rpm,fwd,3746.0,1647.0,1535.0,5.0,35.0,84.0,114.0
toyota,innova 2.5 gx bs iv 7 str,865000,2015,43634,diesel,manual,delhi,silver,first,individual,2494 cc,101 bhp @ 3600 rpm,200 nm @ 1200 rpm,rwd,4585.0,1765.0,1760.0,7.0,55.0,101.0,200.0
bmw,x3 xdrive 20d luxury line [2018-2020],3800000,2018,9512,diesel,automatic,mumbai,blue,first,corporate,1995 cc,190 bhp @ 4000 rpm,400 nm @ 1750 rpm,awd,4657.0,1881.0,1678.0,5.0,67.0,190.0,400.0
jeep,compass limited plus 2.0 diesel 4x4 at,2475000,2020,11293,diesel,automatic,mumbai,white,first,individual,1956 cc,171 bhp @ 3750 rpm,350 nm @ 1750 rpm,awd,4395.0,1818.0,1640.0,5.0,60.0,171.0,350.0
mahindra,scorpio sle bs-iv,400000,2014,78000,diesel,manual,gurgaon,white,second,individual,2179 cc,120 bhp @ 4000 rpm,290 nm @ 1800 rpm,rwd,4430.0,1817.0,1975.0,8.0,60.0,120.0,290.0
honda,brio s mt,440000,2016,50374,petrol,manual,vadodara,white,first,individual,1198 cc,87 bhp @ 6000 rpm,109 nm @ 4500 rpm,fwd,3610.0,1680.0,1500.0,5.0,35.0,87.0,109.0
bmw,3-series 320i luxury line,2800000,2017,15900,petrol,automatic,delhi,white,first,individual,1998 cc,181 bhp @ 5000 rpm,270 nm @ 1350 rpm,rwd,4633.0,1811.0,1429.0,5.0,57.0,181.0,270.0
honda,city v petrol [2017-2019],645000,2017,64000,petrol,manual,mumbai,white,first,individual,1497 cc,117 bhp @ 6600 rpm,145 nm @ 4600 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0
volkswagen,polo highline1.2l (d),365000,2013,78000,diesel,manual,jaipur,silver,first,individual,1199 cc,74 bhp @ 4200 rpm,180 nm @ 2000 rpm,fwd,3970.0,1682.0,1453.0,5.0,45.0,74.0,180.0
maruti suzuki,vitara brezza zxi plus,1044999,2021,24000,petrol,manual,mumbai,silver,first,individual,1462 cc,103 bhp @ 6000 rpm,138 nm @ 4400 rpm,fwd,3995.0,1790.0,1640.0,5.0,48.0,103.0,138.0
maruti suzuki,eeco 7 str [2019-2020],515000,2019,40310,petrol,manual,pune,grey,second,individual,1196 cc,73 bhp @ 6000 rpm,101 nm @ 3000 rpm,rwd,3675.0,1475.0,1800.0,7.0,40.0,73.0,101.0
hyundai,grand i10 asta at 1.2 kappa vtvt [2013-2016],455000,2015,69700,petrol,automatic,mumbai,blue,first,individual,1197 cc,79 bhp @ 6000 rpm,112 nm @ 4000 rpm,fwd,3765.0,1660.0,1520.0,5.0,43.0,79.0,112.0
bmw,x3 xdrive20d,1800000,2012,74073,diesel,automatic,hyderabad,black,first,individual,1995 cc,184 bhp @ 4000 rpm,380 nm @ 1750 rpm,awd,4648.0,1881.0,1661.0,5.0,67.0,184.0,380.0
toyota,fortuner 2.8 4x2 at [2016-2020],3499000,2019,73000,diesel,automatic,mumbai,white,first,individual,2755 cc,174 bhp @ 3400 rpm,450 nm @ 1600 rpm,rwd,4795.0,1855.0,1835.0,7.0,80.0,174.0,450.0
honda,civic 1.8s mt,190000,2006,130000,petrol,manual,deoghar,maroon,third,individual,1799 cc,130 bhp @ 6300 rpm,171.62 nm @ 4300 rpm,fwd,4545.0,1750.0,1450.0,5.0,50.0,130.0,171.62
audi,a4 2.0 tdi (143 bhp),1250000,2012,50000,diesel,automatic,mumbai,white,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
maruti suzuki,swift zxi plus amt,775000,2021,24000,petrol,automatic,agra,grey,first,individual,1197 cc,89 bhp @ 6000 rpm,113 nm @ 4400 rpm,fwd,3845.0,1735.0,1530.0,5.0,37.0,89.0,113.0
hyundai,elite i20 sportz 1.5 mt diesel,825000,2021,43000,diesel,manual,agra,white,first,individual,1493 cc,99 bhp @ 4000 rpm,240 nm @ 1500 rpm,fwd,3995.0,1775.0,1505.0,5.0,37.0,99.0,240.0
audi,a3 35 tdi technology + sunroof,2250000,2016,40500,diesel,automatic,goa,white,first,individual,1968 cc,141 bhp @ 3500 rpm,320 nm @ 1750 rpm,fwd,4456.0,1796.0,1416.0,5.0,50.0,141.0,320.0
honda,city v cvt petrol [2017-2019],865000,2017,49013,petrol,automatic,mumbai,grey,first,individual,1497 cc,117 bhp @ 6600 rpm,145 nm @ 4600 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0
ford,figo duratorq diesel titanium 1.4,299000,2013,64983,diesel,manual,mumbai,red,first,individual,1399 cc,68 bhp @ 4000 rpm,160 nm @ 2000 rpm,fwd,3795.0,1680.0,1427.0,5.0,45.0,68.0,160.0
honda,jazz vx petrol,570000,2017,92270,petrol,manual,mumbai,brown,first,individual,1199 cc,89 bhp @ 6000 rpm,110 nm @ 4800 rpm,fwd,3955.0,1694.0,1544.0,5.0,40.0,89.0,110.0
volkswagen,polo highline1.2l (p),385000,2013,65000,petrol,manual,mumbai,white,first,individual,1198 cc,74 bhp @ 5400 rpm,110 nm @ 3750 rpm,fwd,3970.0,1682.0,1453.0,5.0,45.0,74.0,110.0
honda,amaze 1.5 sx i-dtec,350000,2014,110000,diesel,manual,warangal,black,first,individual,1498 cc,99 bhp @ 3600 rpm,200 nm @ 1750 rpm,fwd,3990.0,1680.0,1505.0,5.0,35.0,99.0,200.0
toyota,camry 2.5l at,2345000,2017,47000,petrol,automatic,delhi,brown,first,individual,2494 cc,179 bhp @ 6000 rpm,233 nm @ 4100 rpm,fwd,4825.0,1825.0,1480.0,5.0,70.0,179.0,233.0
mahindra,thar lx 4-str hard top petrol at,1650000,2022,10000,petrol,automatic,jalandhar,black,first,individual,1997 cc,150 bhp @ 5000 rpm,320 nm @ 1500 rpm,awd,3985.0,1820.0,1844.0,4.0,57.0,150.0,320.0
mercedes-benz,c-class 250 cdi elegance,1100000,2011,51500,diesel,automatic,hyderabad,black,second,individual,2143 cc,207@4200,500@1600,rwd,4596.0,1770.0,1447.0,5.0,66.0,207.0,500.0
audi,q3 35 tdi quattro premium plus,2900000,2018,35000,diesel,automatic,pune,white,first,individual,1968 cc,184 bhp @ 3500 rpm,380 nm @ 1750 rpm,awd,4385.0,1831.0,1608.0,5.0,64.0,184.0,380.0
maruti suzuki,baleno sigma 1.2,545000,2017,61518,petrol,manual,noida,red,first,individual,1197 cc,83 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0
bmw,x1 sdrive20d xline,2990000,2018,34000,diesel,automatic,delhi,white,first,corporate,1995 cc,184 bhp @ 4000 rpm,350 nm @ 1750 rpm,rwd,4454.0,2044.0,1545.0,5.0,63.0,184.0,350.0
maruti suzuki,baleno zeta 1.2,615000,2017,36058,petrol,manual,mumbai,silver,first,individual,1197 cc,83 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0
hyundai,creta 1.6 sx plus at,890000,2016,88000,diesel,automatic,ahmedabad,silver,first,individual,1582 cc,126 bhp @ 4000 rpm,265 nm @ 1900 rpm,fwd,4270.0,1780.0,1630.0,5.0,60.0,126.0,265.0
volkswagen,vento comfortline petrol,430000,2015,98112,petrol,manual,mumbai,brown,first,individual,1598 cc,103 bhp @ 5250 rpm,153 nm @ 3800 rpm,fwd,4384.0,1699.0,1466.0,5.0,55.0,103.0,153.0
mercedes-benz,c-class 220 blueefficiency,1650000,2013,58000,diesel,automatic,bangalore,silver,first,individual,2143 cc,170 bhp @ 4200 rpm,400 nm @ 2800 rpm,rwd,4596.0,1770.0,1447.0,5.0,66.0,170.0,400.0
toyota,camry hybrid,1599000,2015,92355,petrol,automatic,mumbai,silver,first,individual,2494 cc,202 bhp @ 5700 rpm,270 nm @ 4500 rpm,fwd,4825.0,1825.0,1480.0,5.0,65.0,202.0,270.0
maruti suzuki,dzire vxi,691000,2019,16652,petrol,manual,ahmedabad,white,first,individual,1197 cc,89 bhp @ 6000 rpm,113 nm @ 4400 rpm,fwd,3995.0,1735.0,1515.0,5.0,37.0,89.0,113.0
nissan,terrano xv d thp 110 ps,650000,2016,76584,diesel,manual,mumbai,white,first,individual,1461 cc,108 bhp @ 3900 rpm,248 nm @ 2250 rpm,fwd,4331.0,1822.0,1671.0,5.0,50.0,108.0,248.0
maruti suzuki,wagon r lxi cng,415000,2015,42500,cng,manual,mumbai,brown,first,individual,998 cc,58 bhp @ 6200 rpm,77 nm @ 3500 rpm,fwd,3599.0,1495.0,1700.0,5.0,35.0,58.0,77.0
maruti suzuki,vitara brezza ldi (o) [2016-2018],669000,2016,70000,diesel,manual,mohali,grey,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0
bmw,x5 xdrive30d pure experience (5 seater),2950000,2015,84700,diesel,automatic,navi mumbai,black,second,individual,2993 cc,258 bhp @ 4000 rpm,560 nm @ 1500 rpm,awd,4886.0,1938.0,1762.0,5.0,50.0,258.0,560.0
mercedes-benz,glc 220 d sport,3900000,2018,83400,diesel,automatic,hyderabad,white,second,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
porsche,cayenne coupe platinum edition,16200000,2022,2766,petrol,automatic,mumbai,blue,first,individual,2995 cc,335 bhp @ 5300 rpm,450 nm @ 1340 rpm,awd,4931.0,1983.0,1676.0,4.0,75.0,335.0,450.0
mercedes-benz,c-class cabriolet c 300,5100000,2017,56000,petrol,automatic,ghaziabad,white,second,individual,1991 cc,241 bhp @ 5500 rpm,370 nm @ 1300 rpm,rwd,4686.0,1810.0,1409.0,4.0,59.0,241.0,370.0
hyundai,elite i20 magna 1.2,525000,2015,68766,petrol,manual,mumbai,silver,first,individual,1197 cc,82 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0
hyundai,verna 1.6 vtvt sx,750000,2018,16339,petrol,manual,kolkata,black,first,individual,1591 cc,121 bhp @ 6300 rpm,158 nm @ 4200 rpm,fwd,4375.0,1700.0,1475.0,5.0,43.0,121.0,158.0
honda,amaze 1.2 sx i-vtec,445000,2016,63882,petrol,manual,mumbai,bronze,first,individual,1198 cc,87 bhp @ 6000 rpm,109 nm @ 4500 rpm,fwd,3990.0,1680.0,1505.0,5.0,35.0,87.0,109.0
toyota,corolla altis 1.8 g,493000,2012,28732,petrol,manual,zirakpur,silver,first,individual,1798 cc,138 bhp @ 6400 rpm,173 nm @ 4000 rpm,fwd,4540.0,1760.0,1480.0,5.0,55.0,138.0,173.0
hyundai,elite i20 sportz 1.2 (o),611000,2017,51349,petrol,manual,nagpur,red,first,individual,1197 cc,82 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0
hyundai,grand i10 asta at 1.2 kappa vtvt [2013-2016],475000,2014,61866,petrol,automatic,thane,white,first,individual,1197 cc,79 bhp @ 6000 rpm,112 nm @ 4000 rpm,fwd,3765.0,1660.0,1520.0,5.0,43.0,79.0,112.0
hyundai,creta sx plus 1.6  petrol,925000,2017,29401,petrol,manual,mumbai,grey,first,individual,1591 cc,122 bhp @ 6400 rpm,154 nm @ 4850 rpm,fwd,4270.0,1780.0,1630.0,5.0,60.0,122.0,154.0
audi,a6 2.0 tdi premium,1325000,2012,98580,diesel,automatic,goa,white,first,individual,1968 cc,177 bhp @ 3750 rpm,380 nm @ 1750 rpm,fwd,4915.0,1874.0,1455.0,5.0,65.0,177.0,380.0
bmw,x1 sdrive20d xline,3900000,2021,8000,diesel,automatic,delhi,black,first,individual,1995 cc,184 bhp @ 4000 rpm,350 nm @ 1750 rpm,rwd,4454.0,2044.0,1545.0,5.0,63.0,184.0,350.0
mahindra,xuv300 w8 (o) 1.5 diesel,1299000,2020,31348,diesel,manual,bangalore,white,first,individual,1497 cc,115 bhp @ 3750 rpm,300 nm @ 1500 rpm,fwd,3995.0,1821.0,1627.0,5.0,42.0,115.0,300.0
maruti suzuki,swift zdi plus,580000,2018,28851,diesel,manual,kolkata,blue,first,corporate,1248 cc,74 bhp @ 4000 rpm,190 nm @ 2000 rpm,fwd,3840.0,1735.0,1530.0,5.0,37.0,74.0,190.0
honda,brio s mt,229000,2013,38175,petrol,manual,kolkata,blue,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
mahindra,thar lx 4-str hard top petrol mt,1575000,2021,8519,petrol,manual,mumbai,blue,first,individual,1997 cc,150 bhp @ 5000 rpm,300 nm @ 1250 rpm,awd,3985.0,1820.0,1844.0,4.0,57.0,150.0,300.0
honda,city 1.5 s mt,375000,2011,78000,petrol,manual,pune,bronze,first,individual,1497 cc,118@6600,146@4600,fwd,4420.0,1695.0,1480.0,5.0,42.0,118.0,146.0
mercedes-benz,e-class e 250 cdi avantgarde,2250000,2015,48000,diesel,automatic,mumbai,white,first,individual,2143 cc,204 bhp @ 4200 rpm,500 nm @ 1600 rpm,rwd,4879.0,1854.0,1474.0,5.0,80.0,204.0,500.0
toyota,fortuner 3.0 4x2 at,1400000,2014,143000,diesel,automatic,faridabad,white,second,individual,2982 cc,169 bhp @ 3600 rpm,360 nm @ 1400 rpm,rwd,4705.0,1840.0,1850.0,7.0,80.0,169.0,360.0
tata,zest xm 75 ps diesel,425000,2017,39000,diesel,manual,ranchi,silver,first,commercial registration,1248 cc,74 bhp @ 4000 rpm,190 nm @ 1750 rpm,fwd,3995.0,1706.0,1570.0,5.0,44.0,74.0,190.0
skoda,rapid ambition 1.6 mpi at plus,425000,2014,24000,petrol,automatic,mumbai,beige,second,individual,1598 cc,104 bhp @ 5250 rpm,153 nm @ 3800 rpm,fwd,4386.0,1699.0,1466.0,5.0,55.0,104.0,153.0
maruti suzuki,alto 800 lxi,250000,2015,62000,petrol,manual,kanpur,maroon,second,individual,796 cc,47 bhp @ 6000 rpm,69 nm @ 3500 rpm,fwd,3395.0,1490.0,1475.0,5.0,35.0,47.0,69.0
maruti suzuki,ertiga vdi,425000,2012,78000,diesel,manual,jalandhar,white,second,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4265.0,1695.0,1685.0,7.0,45.0,89.0,200.0
hyundai,santro gl lpg,120000,2009,48500,lpg,manual,lucknow,grey,fourth,individual,1086 cc,63@5500,89@3000,fwd,3565.0,1525.0,1590.0,5.0,35.0,63.0,89.0
