name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,mileage_value,mileage_unit,engine_cc,power_bhp
maruti swift 1.3 vxi,2007,200000,80000,petrol,individual,manual,second owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
maruti wagon r lxi minor,2009,180000,90000,petrol,individual,manual,second owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0,18.9,kmpl,1061.0,67.0
mahindra kuv 100 mfalcon g80 k8 5str,2016,400000,40000,petrol,individual,manual,first owner,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5.0,18.15,kmpl,1198.0,82.0
maruti ertiga shvs vdi,2016,778000,70000,diesel,individual,manual,second owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,24.52,kmpl,1248.0,88.5
hyundai i20 1.4 crdi asta,2012,500000,53000,diesel,individual,manual,second owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,23.0,kmpl,1396.0,90.0
maruti alto lx,2002,150000,80000,petrol,individual,manual,second owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
hyundai i20 2015-2017 asta 1.4 crdi,2016,680000,100000,diesel,individual,manual,first owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,22.54,kmpl,1396.0,88.73
mahindra verito 1.5 d4 bsiii,2011,174000,100000,diesel,individual,manual,second owner,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5.0,21.0,kmpl,1461.0,64.1
honda wr-v i-dtec vx,2017,950000,50000,diesel,individual,manual,first owner,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,25.5,kmpl,1498.0,98.6
maruti swift dzire zdi,2015,525000,40000,diesel,individual,manual,first owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,26.59,kmpl,1248.0,74.0
maruti sx4 zdi,2012,600000,72000,diesel,individual,manual,first owner,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5.0,21.5,kmpl,1248.0,88.8
tata tigor 2017-2020 xz,2018,500000,35000,petrol,individual,manual,first owner,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm,5.0,20.3,kmpl,1199.0,83.81
maruti baleno delta 1.2,2016,575000,45000,petrol,individual,manual,first owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,21.4,kmpl,1197.0,83.1
maruti alto 800 lxi,2017,275000,28000,petrol,individual,manual,first owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,24.7,kmpl,796.0,47.3
chevrolet enjoy tcdi ltz 7 seater,2013,300000,70000,diesel,individual,manual,first owner,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7.0,18.2,kmpl,1248.0,73.8
maruti wagon r lxi minor,2009,220000,120000,petrol,individual,manual,first owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0,18.9,kmpl,1061.0,67.0
maruti omni e mpi std bs iv,2018,254999,25000,petrol,individual,manual,first owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8.0,16.8,kmpl,796.0,34.2
maruti vitara brezza ldi option,2017,670000,70000,diesel,individual,manual,first owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,kmpl,1248.0,88.5
fiat palio 1.2 elx,2003,70000,50000,petrol,individual,manual,second owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
maruti omni 8 seater bsiv,2012,150000,35000,petrol,individual,manual,second owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5.0,14.0,kmpl,796.0,35.0
hyundai i20 1.2 asta dual tone,2018,730000,2388,petrol,individual,manual,first owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,18.6,kmpl,1197.0,81.83
maruti vitara brezza ldi,2017,650000,16200,diesel,individual,manual,first owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,kmpl,1248.0,88.5
maruti alto 800 cng lxi optional,2019,330000,10000,cng,individual,manual,second owner,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4.0,33.44,km/kg,796.0,40.3
maruti alto k10 vxi airbag,2019,366000,15000,petrol,individual,manual,first owner,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,23.95,kmpl,998.0,67.1
hyundai verna vtvt 1.6 sx option,2019,1149000,5000,petrol,individual,manual,first owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0,17.0,kmpl,1591.0,121.3
datsun go d,2016,150000,42000,petrol,individual,manual,first owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5.0,20.63,kmpl,1198.0,67.0
tata safari dicor 2.2 lx 4x2,2011,425000,60000,diesel,individual,manual,second owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7.0,13.93,kmpl,2179.0,138.03
maruti 800 std,2012,150000,76000,petrol,individual,manual,first owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,16.1,kmpl,796.0,37.0
jeep compass 1.4 limited plus bsiv,2019,2100000,5000,petrol,individual,automatic,first owner,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5.0,16.0,kmpl,1368.0,160.77
honda city i vtec vx,2018,925000,28900,petrol,dealer,manual,first owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0,17.8,kmpl,1497.0,117.3
honda city v mt,2013,425000,86300,petrol,dealer,manual,first owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0,16.8,kmpl,1497.0,116.3
maruti swift dzire vxi at,2018,675000,23300,petrol,dealer,automatic,first owner,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0,18.5,kmpl,1197.0,83.14
maruti vitara brezza vdi,2018,819999,32600,diesel,dealer,manual,first owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,kmpl,1248.0,88.5
maruti alto k10 vxi,2018,390000,10300,petrol,dealer,manual,first owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,23.95,kmpl,998.0,67.05
toyota fortuner 4x4 mt,2014,1500000,77000,diesel,dealer,manual,first owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7.0,12.55,kmpl,2982.0,168.5
toyota innova 2.5 g (diesel) 7 seater bs iv,2013,700000,99000,diesel,dealer,manual,first owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7.0,12.99,kmpl,2494.0,100.0
mercedes-benz b class b180,2014,1450000,27800,diesel,dealer,automatic,second owner,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5.0,14.8,kmpl,2143.0,120.7
honda amaze s diesel,2015,425000,49800,diesel,dealer,manual,first owner,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5.0,24.7,kmpl,1498.0,98.63
mitsubishi pajero sport 4x4,2013,1090000,151000,diesel,dealer,manual,first owner,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7.0,13.5,kmpl,2477.0,175.56
honda city i dtec s,2015,600000,54700,diesel,dealer,manual,first owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,26.0,kmpl,1498.0,98.6
maruti ciaz zeta,2018,850000,64000,petrol,dealer,manual,first owner,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5.0,20.65,kmpl,1462.0,103.25
honda jazz vx diesel,2015,525000,63000,diesel,dealer,manual,first owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,27.3,kmpl,1498.0,98.6
toyota innova crysta 2.8 zx at bsiv,2016,1650000,127700,diesel,dealer,automatic,second owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7.0,11.36,kmpl,2755.0,171.5
toyota innova 2.5 g (diesel) 7 seater,2016,950000,99000,diesel,dealer,manual,first owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0,12.99,kmpl,2494.0,100.6
audi a6 2.0 tdi technology,2013,1750000,33900,diesel,dealer,automatic,second owner,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5.0,17.68,kmpl,1968.0,174.33
toyota corolla altis 1.8 vl cvt,2018,1590000,25000,petrol,dealer,automatic,first owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5.0,14.28,kmpl,1798.0,138.03
audi a6 2.0 tdi  design edition,2013,1689999,50000,diesel,dealer,automatic,first owner,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5.0,18.53,kmpl,1968.0,187.74
mercedes-benz new c-class 220 cdi at,2013,1425000,59000,diesel,dealer,automatic,first owner,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5.0,14.84,kmpl,2143.0,170.0
tata manza elan quadrajet bs iv,2011,265000,120000,diesel,individual,manual,first owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0,21.12,kmpl,1248.0,88.8
hyundai i10 magna,2011,190000,110000,petrol,individual,manual,third owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,20.36,kmpl,1197.0,78.9
hyundai i20 asta 1.4 crdi,2013,425000,60000,diesel,individual,manual,first owner,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5.0,21.27,kmpl,1396.0,88.76
maruti swift dzire zdi,2015,630000,147000,diesel,individual,manual,second owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,26.59,kmpl,1248.0,74.0
ford figo 1.2p titanium mt,2017,600000,25000,petrol,individual,manual,third owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0,18.16,kmpl,1196.0,86.8
maruti baleno delta 1.2,2019,650000,30000,petrol,individual,manual,first owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,21.4,kmpl,1197.0,83.1
volkswagen ameo 1.5 tdi highline 16 alloy,2016,540000,40000,diesel,individual,manual,first owner,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5.0,22.0,kmpl,1498.0,108.495
honda city i dtec vx,2015,630000,135000,diesel,individual,manual,first owner,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,25.1,kmpl,1498.0,98.6
maruti wagon r amt vxi,2018,448000,30000,petrol,individual,automatic,first owner,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5.0,20.51,kmpl,998.0,67.0
volkswagen ameo 1.5 tdi comfortline,2017,500000,80000,diesel,individual,manual,first owner,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5.0,21.66,kmpl,1498.0,108.62
maruti vitara brezza vdi,2016,745000,70000,diesel,individual,manual,first owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,kmpl,1248.0,88.5
maruti vitara brezza zdi plus amt,2019,1025000,9850,diesel,individual,automatic,first owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,kmpl,1248.0,88.5
hyundai i10 magna,2011,235000,60000,petrol,individual,manual,second owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,20.36,kmpl,1197.0,78.9
maruti swift vdi deca,2016,630000,70000,diesel,individual,manual,first owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,25.2,kmpl,1248.0,74.0
toyota fortuner 4x4 mt,2015,1700000,78000,diesel,individual,manual,second owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7.0,12.55,kmpl,2982.0,168.5
maruti swift star vdi,2013,450000,120000,diesel,individual,manual,second owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,22.9,kmpl,1248.0,74.0
maruti ertiga zxi,2012,450000,120000,petrol,individual,manual,second owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0,16.02,kmpl,1373.0,93.7
tata indica dls,2003,50000,70000,diesel,individual,manual,first owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
volkswagen vento diesel highline,2013,450000,170000,diesel,individual,manual,first owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0,20.54,kmpl,1598.0,103.6
toyota innova 2.5 vx (diesel) 8 seater,2016,1200000,140000,diesel,individual,manual,first owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8.0,12.99,kmpl,2494.0,100.6
ford ecosport 1.5 tdci titanium plus bsiv,2015,610000,90000,diesel,individual,manual,first owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0,22.77,kmpl,1498.0,98.59
bmw x1 sdrive20i xline,2016,2500000,30000,petrol,individual,automatic,second owner,15.71 kmpl,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5.0,15.71,kmpl,1998.0,189.0
maruti celerio zxi mt bsiv,2017,484999,10000,petrol,dealer,manual,first owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,23.1,kmpl,998.0,67.04
datsun go a petrol,2016,275000,49000,petrol,dealer,manual,first owner,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5.0,19.02,kmpl,1198.0,67.05
maruti alto 800 vxi bsiv,2016,315000,32000,petrol,dealer,manual,first owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,24.7,kmpl,796.0,47.3
maruti alto 800 lxi bsiv,2016,275000,38000,petrol,dealer,manual,first owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,24.7,kmpl,796.0,47.3
maruti swift vdi bsiv w abs,2015,475000,78000,diesel,dealer,manual,first owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
hyundai i10 era 1.1,2012,290000,28000,petrol,dealer,manual,first owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,19.81,kmpl,1086.0,68.05
maruti omni 8 seater bsiv,2017,280000,32000,petrol,dealer,manual,first owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5.0,14.0,kmpl,796.0,35.0
maruti wagon r lxi lpg bsiv,2010,225000,44000,lpg,dealer,manual,first owner,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5.0,26.2,km/kg,998.0,58.2
volkswagen polo 1.2 mpi comfortline,2015,455000,42000,petrol,dealer,manual,first owner,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5.0,16.47,kmpl,1198.0,74.0
hyundai i10 magna 1.1l,2015,351000,45000,petrol,dealer,manual,second owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,19.81,kmpl,1086.0,68.05
volkswagen vento petrol highline,2012,535000,12000,petrol,dealer,manual,second owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5.0,15.04,kmpl,1598.0,103.6
maruti zen estilo lxi bsiii,2009,175000,55500,petrol,dealer,manual,first owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,18.2,kmpl,998.0,67.1
hyundai i20 asta optional with sunroof 1.2,2013,525000,61500,petrol,dealer,manual,first owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0,18.5,kmpl,1197.0,82.85
maruti swift dzire ldi,2016,600000,150000,diesel,individual,manual,first owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,26.59,kmpl,1248.0,74.0
hyundai xcent 1.2 kappa sx option at,2016,565000,72000,petrol,dealer,automatic,first owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0,19.1,kmpl,1197.0,82.0
maruti alto lx bsiii,2008,120000,68000,petrol,dealer,manual,third owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
hyundai i20 1.4 asta option,2017,725000,110000,diesel,individual,manual,first owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,22.54,kmpl,1396.0,88.73
maruti wagon r vxi,2009,185000,77000,petrol,dealer,manual,second owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,21.79,kmpl,998.0,67.05
tata manza aura (abs) quadrajet,2010,200000,100000,diesel,individual,manual,second owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5.0,18.8,kmpl,1248.0,90.0
maruti swift vxi,2019,615000,10000,petrol,individual,manual,first owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,21.21,kmpl,1197.0,81.8
maruti eeco 7 seater standard bsiv,2016,270000,100000,petrol,individual,manual,third owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7.0,15.37,kmpl,1196.0,73.0
maruti baleno zeta 1.2,2018,610000,35000,petrol,individual,manual,first owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,21.4,kmpl,1197.0,83.1
mahindra scorpio vlx at airbag bsiv,2014,625000,70000,diesel,individual,automatic,second owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,11.79,kmpl,2179.0,120.0
ford freestyle titanium petrol bsiv,2020,400000,5000,petrol,individual,manual,second owner,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5.0,19.0,kmpl,1194.0,94.68
hyundai verna vtvt 1.6 sx,2017,866000,37800,petrol,individual,manual,first owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0,17.0,kmpl,1591.0,121.3
volkswagen passat 1.8 tsi mt,2010,700000,114000,petrol,individual,manual,first owner,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5.0,14.3,kmpl,1798.0,160.0
tata indica vista aura 1.2 safire (abs) bs iv,2010,300000,48000,petrol,individual,manual,first owner,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,5.0,15.8,kmpl,1172.0,65.0
mahindra xuv500 w11 option awd,2019,1700000,32000,diesel,individual,manual,first owner,15.1 kmpl,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7.0,15.1,kmpl,2179.0,155.0
tata indigo cs ls (tdi) bs-iii,2016,375000,100000,diesel,individual,manual,first owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0,19.09,kmpl,1405.0,69.01
hyundai verna 1.6 sx,2013,522000,150000,diesel,individual,manual,second owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0,22.32,kmpl,1582.0,126.32
hyundai i20 magna 1.4 crdi (diesel),2013,451999,69000,diesel,individual,manual,first owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5.0,21.9,kmpl,1396.0,88.76
toyota corolla altis g,2009,300000,100000,petrol,individual,manual,second owner,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm,5.0,14.53,kmpl,1798.0,138.1
maruti celerio vxi,2020,475000,13000,petrol,individual,manual,first owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,21.63,kmpl,998.0,67.04
maruti vitara brezza zdi plus dual tone,2016,780000,60000,diesel,individual,manual,first owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,kmpl,1248.0,88.5
maruti swift dzire vxi,2017,595000,40000,petrol,individual,manual,first owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0,20.85,kmpl,1197.0,83.14
maruti wagon r vxi bs iv,2017,440000,35000,petrol,individual,manual,first owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,20.51,kmpl,998.0,67.04
maruti swift vdi bsiv,2010,300000,120000,diesel,individual,manual,second owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
nissan terrano xl 85 ps,2014,400000,70000,diesel,individual,manual,third owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,20.45,kmpl,1461.0,83.8
hyundai creta 1.6 crdi sx,2016,1140000,50000,diesel,individual,manual,first owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,19.67,kmpl,1582.0,126.2
ford ecosport 1.5 diesel titanium plus bsiv,2017,850000,76139,diesel,individual,manual,first owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5.0,23.0,kmpl,1498.0,98.96
maruti swift dzire vdi,2012,370000,175000,diesel,individual,manual,fourth & above owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,73.9
renault kwid 1.0,2018,350000,25000,petrol,individual,manual,first owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0,23.01,kmpl,999.0,67.0
maruti celerio vxi,2015,360000,40000,petrol,individual,manual,second owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,23.1,kmpl,998.0,67.04
maruti alto lxi,2008,105000,65000,petrol,individual,manual,fourth & above owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
maruti ertiga vdi,2013,625000,90000,diesel,individual,manual,second owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0,20.77,kmpl,1248.0,88.76
hyundai santro xing gls,2009,135000,80000,petrol,individual,manual,second owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,17.92,kmpl,1086.0,62.1
maruti ertiga vdi,2015,700000,110000,diesel,individual,manual,second owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0,20.77,kmpl,1248.0,88.76
honda amaze s i-vtec,2019,690000,1303,petrol,dealer,manual,first owner,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5.0,17.8,kmpl,1198.0,86.7
audi q5 35tdi premium plus,2018,3975000,31800,diesel,dealer,automatic,first owner,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm,5.0,17.01,kmpl,1968.0,188.0
lexus es 300h,2019,5150000,20000,petrol,dealer,automatic,first owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5.0,22.37,kmpl,2487.0,214.56
jaguar xf 2.0 diesel portfolio,2017,3200000,45000,diesel,dealer,automatic,first owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0,19.33,kmpl,1999.0,177.0
jeep wrangler 2016-2019 3.6 4x4,2017,4100000,17000,petrol,individual,automatic,first owner,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm,5.0,9.5,kmpl,3604.0,280.0
land rover discovery sport td4 se,2019,4500000,21000,diesel,dealer,automatic,first owner,12.83 kmpl,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7.0,12.83,kmpl,1999.0,148.31
mercedes-benz s-class s 350 cdi,2017,6000000,37000,diesel,dealer,automatic,first owner,13.5 kmpl,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5.0,13.5,kmpl,2987.0,254.79
bmw 5 series 520d sport line,2018,3790000,29500,diesel,dealer,automatic,first owner,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5.0,22.48,kmpl,1995.0,187.74
bmw x1 sdrive 20d xline,2017,2150000,27000,diesel,dealer,automatic,first owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
bmw x4 m sport x xdrive20d,2019,5800000,7500,diesel,dealer,automatic,first owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,16.78,kmpl,1995.0,190.0
skoda superb lk 1.8 tsi at,2018,1864999,50000,petrol,dealer,automatic,first owner,14.67 kmpl,1798 CC,177.46 bhp,250@ 1250-5000rpm,5.0,14.67,kmpl,1798.0,177.46
mercedes-benz e-class e250 edition e,2016,2700000,35000,diesel,dealer,automatic,first owner,15.0 kmpl,2143 CC,204 bhp,500Nm@ 1600-1800rpm,5.0,15.0,kmpl,2143.0,204.0
